iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
264,0.7007,53.1017,7.1836,nan,nan,nan,nan,2.917e+05
265,0.6795,53.5047,7.7562,nan,nan,nan,nan,2.920e+05
266,0.6936,53.8559,8.2714,nan,nan,nan,nan,2.924e+05
267,0.7093,54.2155,8.6194,nan,nan,nan,nan,2.927e+05
268,0.7182,54.4208,9.6670,nan,nan,nan,nan,2.930e+05
269,0.7189,54.8198,9.1941,nan,nan,nan,nan,2.933e+05
270,0.7241,55.1398,9.5275,nan,nan,nan,nan,2.936e+05
271,0.7311,55.2953,9.2384,nan,nan,nan,nan,2.939e+05
272,0.7484,55.6472,8.8795,nan,nan,nan,nan,2.942e+05
273,0.7736,56.0654,8.3686,nan,nan,nan,nan,2.945e+05
274,0.7952,56.5086,7.7425,nan,nan,nan,nan,2.948e+05
275,0.7726,56.7818,6.8982,4.5732,399.45,0.0345,0.5725,2.951e+05
276,1.4485,58.0145,5.1061,nan,nan,nan,nan,2.878e+05
277,1.2870,56.2834,4.2184,nan,nan,nan,nan,2.881e+05
278,0.6706,56.0523,3.7927,nan,nan,nan,nan,2.884e+05
279,0.6574,56.1304,5.0744,nan,nan,nan,nan,2.887e+05
280,0.6780,56.7211,6.0108,nan,nan,nan,nan,2.890e+05
281,0.6833,56.6449,6.7260,nan,nan,nan,nan,2.893e+05
282,0.6804,56.7646,7.6666,nan,nan,nan,nan,2.896e+05
283,0.6833,57.1468,8.1962,nan,nan,nan,nan,2.899e+05
284,0.6834,57.5962,8.1376,nan,nan,nan,nan,2.902e+05
285,0.6955,58.5512,7.9102,nan,nan,nan,nan,2.905e+05
286,0.7911,59.1898,9.2118,nan,nan,nan,nan,2.908e+05
287,1.0295,59.2158,10.2338,nan,nan,nan,nan,2.910e+05
288,1.0897,59.1290,7.7074,nan,nan,nan,nan,2.913e+05
289,0.8465,59.2728,5.5407,nan,nan,nan,nan,2.916e+05
290,0.7225,59.7983,4.9352,nan,nan,nan,nan,2.919e+05
291,0.7251,60.5903,4.8248,nan,nan,nan,nan,2.922e+05
292,0.7485,61.2078,5.2973,nan,nan,nan,nan,2.924e+05
293,0.7549,61.7908,6.0540,nan,nan,nan,nan,2.927e+05
294,0.7609,62.2859,5.8569,nan,nan,nan,nan,2.930e+05
295,0.7703,62.6994,6.6329,nan,nan,nan,nan,2.933e+05
296,0.7897,62.8538,7.0341,nan,nan,nan,nan,2.935e+05
297,0.9082,62.7881,8.6866,nan,nan,nan,nan,2.938e+05
298,1.0202,62.7909,8.5086,nan,nan,nan,nan,2.941e+05
299,0.9836,62.8570,6.7490,nan,nan,nan,nan,2.943e+05
300,0.8490,63.2419,4.7593,4.9778,393.17,0.6971,0.6333,2.946e+05
301,1.1379,63.0791,4.2110,nan,nan,nan,nan,2.888e+05
302,0.6749,62.0096,4.1354,nan,nan,nan,nan,2.891e+05
303,0.7021,62.3427,3.8225,nan,nan,nan,nan,2.893e+05
304,0.6931,62.0757,4.8408,nan,nan,nan,nan,2.896e+05
305,0.6895,61.6756,6.1309,nan,nan,nan,nan,2.898e+05
306,0.6917,62.0966,6.2342,nan,nan,nan,nan,2.901e+05
307,0.6939,62.5894,6.1995,nan,nan,nan,nan,2.904e+05
308,0.7036,63.6828,5.0087,nan,nan,nan,nan,2.906e+05
309,0.7212,64.6839,4.8497,nan,nan,nan,nan,2.909e+05
310,0.8181,64.9917,6.1766,nan,nan,nan,nan,2.912e+05
311,1.1823,63.8523,10.2285,nan,nan,nan,nan,2.914e+05
312,1.1866,62.6494,7.7994,nan,nan,nan,nan,2.917e+05
313,0.8374,62.0736,5.1492,nan,nan,nan,nan,2.920e+05
314,0.7220,62.0321,5.1956,nan,nan,nan,nan,2.922e+05
315,0.7253,62.4904,5.2740,nan,nan,nan,nan,2.925e+05
316,0.7461,63.3659,5.0819,nan,nan,nan,nan,2.927e+05
317,0.7524,63.9875,4.8285,nan,nan,nan,nan,2.930e+05
318,0.7582,64.6280,5.4289,nan,nan,nan,nan,2.933e+05
319,0.7620,65.2426,5.2777,nan,nan,nan,nan,2.935e+05
320,0.7858,65.7533,5.8770,nan,nan,nan,nan,2.938e+05
321,0.9415,65.5087,9.1668,nan,nan,nan,nan,2.940e+05
322,1.1398,64.4546,11.4213,nan,nan,nan,nan,2.943e+05
323,1.0419,64.2549,8.2238,nan,nan,nan,nan,2.945e+05
324,0.8500,64.6242,5.0388,nan,nan,nan,nan,2.948e+05
325,0.7903,65.1443,4.4869,5.0051,372.11,0.9615,0.6735,2.950e+05
326,0.8501,67.2343,2.3531,nan,nan,nan,nan,2.890e+05
327,0.7819,67.4098,2.7632,nan,nan,nan,nan,2.892e+05
