iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
258,0.6590,42.1684,14.5885,nan,nan,nan,nan,2.639e+05
259,0.6630,42.9130,15.6019,nan,nan,nan,nan,2.642e+05
260,0.6700,43.9893,15.7232,nan,nan,nan,nan,2.645e+05
261,0.6799,44.9494,16.0727,nan,nan,nan,nan,2.648e+05
262,0.6884,45.7154,16.3946,nan,nan,nan,nan,2.651e+05
263,0.7077,46.5365,16.0790,nan,nan,nan,nan,2.655e+05
264,0.7265,47.8402,15.9047,nan,nan,nan,nan,2.658e+05
265,0.7348,48.6763,15.3969,nan,nan,nan,nan,2.661e+05
266,0.7228,49.1960,15.5577,nan,nan,nan,nan,2.664e+05
267,0.7293,49.4067,16.2738,nan,nan,nan,nan,2.667e+05
268,0.7303,49.4774,17.0844,nan,nan,nan,nan,2.671e+05
269,0.7267,49.8521,16.5744,nan,nan,nan,nan,2.674e+05
270,0.7357,50.8843,15.3285,nan,nan,nan,nan,2.677e+05
271,0.7485,51.5657,16.0102,nan,nan,nan,nan,2.680e+05
272,0.7528,52.6675,14.2903,nan,nan,nan,nan,2.684e+05
273,0.7561,53.7011,14.7113,nan,nan,nan,nan,2.687e+05
274,0.7711,54.2045,14.4638,nan,nan,nan,nan,2.690e+05
275,0.7701,55.0685,12.9433,4.9994,307.17,1.0000,0.8138,2.693e+05
276,0.8336,61.0623,4.2830,nan,nan,nan,nan,2.655e+05
277,0.7509,59.5516,8.8793,nan,nan,nan,nan,2.659e+05
278,0.7119,59.1893,9.5968,nan,nan,nan,nan,2.662e+05
279,0.7149,58.2246,12.9343,nan,nan,nan,nan,2.665e+05
280,0.6913,56.5122,16.0692,nan,nan,nan,nan,2.669e+05
281,0.8876,55.9683,20.6985,nan,nan,nan,nan,2.672e+05
282,1.4085,56.7843,17.0724,nan,nan,nan,nan,2.675e+05
283,0.7903,58.2929,8.3296,nan,nan,nan,nan,2.678e+05
284,0.6886,58.4475,7.3344,nan,nan,nan,nan,2.681e+05
285,0.7021,57.6835,9.2207,nan,nan,nan,nan,2.685e+05
286,0.7062,57.2836,11.8482,nan,nan,nan,nan,2.688e+05
287,0.7244,57.6425,12.3978,nan,nan,nan,nan,2.691e+05
288,0.7342,58.7188,12.2910,nan,nan,nan,nan,2.694e+05
289,0.7527,59.7239,11.1548,nan,nan,nan,nan,2.697e+05
290,0.8497,60.4056,11.6644,nan,nan,nan,nan,2.700e+05
291,1.0148,60.7025,11.5174,nan,nan,nan,nan,2.703e+05
